,Transaction Description,Category
0,grocery shopping at Walmart,Groceries
1,paying electricity bill,Utilities
2,monthly Netflix subscription,Entertainment
3,buying vegetables at local market,Groceries
4,internet bill payment,Utilities
5,purchase of concert ticket,Entertainment
6,buying meat at butcher,Groceries
7,paid gas bill,Utilities
8,Spotify subscription renewal,Entertainment
9,purchased fruits from grocery store,Groceries
10,water utility bill payment,Utilities
11,cinema ticket purchase,Entertainment
12,buying bread and eggs,Groceries
13,paying monthly telephone bill,Utilities
14,subscription for online gaming,Entertainment
15,milk and cheese from dairy shop,Groceries
16,payment of cable service,Utilities
17,booked a movie ticket online,Entertainment
18,purchasing flour and sugar,Groceries
19,monthly trash collection bill,Utilities
20,Amazon Prime subscription renewal,Entertainment
21,purchasing cereals and snacks,Groceries
22,quarterly sewerage bill,Utilities
23,purchased amusement park ticket,Entertainment
24,buying toiletries at store,Groceries
25,paid for monthly internet package,Utilities
26,paying for streaming service,Entertainment
27,purchased pasta and sauce,Groceries
28,payment of rental services,Utilities
29,booked tickets for theatre play,Entertainment
30,buying spices from store,Groceries
31,payment for electricity usage,Utilities
32,renewal of magazine subscription,Entertainment
33,purchase of cookies and candy,Groceries
34,annual pest control payment,Utilities
35,booked seat for live comedy show,Entertainment
36,grocery shopping at Walmart,Groceries
37,paying electricity bill,Utilities
38,monthly Netflix subscription,Entertainment
39,buying vegetables at local market,Groceries
40,internet bill payment,Utilities
41,purchase of concert ticket,Entertainment
42,buying meat at butcher,Groceries
43,paid gas bill,Utilities
44,Spotify subscription renewal,Entertainment
45,purchased fruits from grocery store,Groceries
46,water utility bill payment,Utilities
47,cinema ticket purchase,Entertainment
48,buying bread and eggs,Groceries
49,paying monthly telephone bill,Utilities
50,subscription for online gaming,Entertainment
51,milk and cheese from dairy shop,Groceries
52,payment of cable service,Utilities
53,booked a movie ticket online,Entertainment
54,purchasing flour and sugar,Groceries
55,monthly trash collection bill,Utilities
56,Amazon Prime subscription renewal,Entertainment
57,purchasing cereals and snacks,Groceries
58,quarterly sewerage bill,Utilities
59,purchased amusement park ticket,Entertainment
60,buying toiletries at store,Groceries
61,paid for monthly internet package,Utilities
62,paying for streaming service,Entertainment
63,purchased pasta and sauce,Groceries
64,payment of rental services,Utilities
65,booked tickets for theatre play,Entertainment
66,buying spices from store,Groceries
67,payment for electricity usage,Utilities
68,renewal of magazine subscription,Entertainment
69,purchase of cookies and candy,Groceries
70,annual pest control payment,Utilities
71,booked seat for live comedy show,Entertainment
